URL,TITLE,PRODUCT_COUNT,BEFORE_INCOMING_LINKS,AFTER_INCOMING_LINKS,NEW_INCOMING_LINKS,NEW_SOURCE_URLS,SOURCE_TYPES,SEMANTIC_REASON,REACHABLE_BEFORE,REACHABLE_AFTER
/bizhuta-s-hematit/,Бижута с хематит – материал и детайли | Българитъм,1,0,1,1,/p/komplekt-damski-bizhuta-oliv/,PRODUCT,Exact match against product data — категория: Аксесоари; подкатегория: Бижута; камък: Хематит. No inferred attributes.,NO,YES
/bulgarska-bio-kozmetika/,Българска био козметика | Българитъм,1,0,1,1,/p/bio-balsam-za-sled-tatuirane-roza-20-ml/,PRODUCT,The product is a direct member of the generated landing selection according to existing structured product data.,NO,YES
/damska-lenena-riza/,Дамски ленени ризи – модели и идеи | Българитъм,1,0,1,1,/p/rozova-svobodna-riza-s-printove/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Ризи; материал: Лен. No inferred attributes.,NO,YES
/dankova-roklya/,Дънкови рокли – модели и идеи | Българитъм,1,0,1,1,/p/damska-roklya-azure-belle-razkroena-midi/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Рокли; материал: Деним. No inferred attributes.,NO,YES
/grivna-srebro/,Гривни от сребро – материал и детайли | Българитъм,1,0,1,1,/p/srebarna-tvarda-grivna-melted/,PRODUCT,Exact match against product data — категория: Аксесоари; подкатегория: Бижута; тип продукт: Гривни; материал: Сребро. No inferred attributes.,NO,YES
/luksozen-podarak-za-uchitelka/,Подарък за учителка – идеи за подарък | Българитъм,1,0,1,1,/p/folkloren-podarachen-komplekt-pazi-balgaria-v-sarceto-si/,PRODUCT,Exact match against product data — получател: За жена; интерес/роля: Учителка. No inferred attributes.,NO,YES
/podarak-za-20-godishen-mazh/,Подарък за 20-годишен мъж – идеи за подарък | Българитъм,1,0,1,1,/p/album-friends-2/,PRODUCT,Exact match against product data — получател: За мъж; възраст: 20. No inferred attributes.,NO,YES
/podarak-za-30-godishnina-na-mazh/,Подарък за 30-годишен мъж – идеи за подарък | Българитъм,1,0,1,1,/p/album-friends-2/,PRODUCT,Exact match against product data — получател: За мъж; възраст: 30. No inferred attributes.,NO,YES
/podarak-za-zhena-za-8-mart/,Подарък за жена за 8 март – идеи за подарък | Българитъм,1,0,1,1,/p/bundle-the-bond-2-teniski/,PRODUCT,Exact match against product data — получател: За жена; повод: 8 март. No inferred attributes.,NO,YES
/praktichen-podarak-za-mazh/,Практичен подарък за мъж – идеи за подарък | Българитъм,1,0,1,1,/p/komplekt-chorapi-planina/,PRODUCT,Exact match against product data — получател: За мъж; характеристика: Практичен. No inferred attributes.,NO,YES
/rozova-riza/,Розови ризи – модели и идеи | Българитъм,1,0,1,1,/p/rozova-svobodna-riza-s-printove/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Ризи; цвят: Розов. No inferred attributes.,NO,YES
/sinya-roklya/,Сини рокли – модели и идеи | Българитъм,1,0,1,1,/p/roklya-v-nebesno-sin-cvyat/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Рокли; цвят: Син. No inferred attributes.,NO,YES
/zelena-roklya/,Зелени рокли – модели и идеи | Българитъм,1,0,1,1,/p/roklya-v-cvyat-sham-fastak/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Рокли; цвят: Зелен. No inferred attributes.,NO,YES
/bezhovi-rokli/,Бежови рокли – модели и идеи | Българитъм,2,0,2,2,/p/dulga-ripsena-roklya-s-kopcheta/; /p/dulga-roklya-s-kolan-v-pyasuchen-nyuans/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Рокли; цвят: Бежов. No inferred attributes.,NO,YES
/bulgarski-ezhednevni-rokli/,Български ежедневни рокли – модели и идеи | Българитъм,2,0,2,2,/p/dulga-ripsena-roklya-s-kopcheta/; /p/slip-dress-diva/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Рокли; стил: Ежедневен. No inferred attributes.,NO,YES
/bulgarski-oficialni-rokli/,Български официални рокли – модели и идеи | Българитъм,2,0,2,2,/p/fairy-blush/; /p/roklya-margot-v-byalo/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Рокли; стил: Официален. No inferred attributes.,NO,YES
/byala-damska-riza/,Бели дамски ризи – модели и идеи | Българитъм,2,0,2,2,/p/byala-riza-ariadna/; /p/obemna-riza-s-mnogofunktsionalna-vrazka-grand-palais/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Ризи; цвят: Бял. No inferred attributes.,NO,YES
/cherno-palto/,Черни палта – модели и идеи | Българитъм,2,0,2,2,/p/butikovo-reglan-palto-greis/; /p/elegantno-dvuredo-cherno-palto-s-kolan/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Палта; цвят: Черен. No inferred attributes.,NO,YES
/godezhni-prasteni/,Годежни пръстени – материал и детайли | Българитъм,2,0,2,2,/p/godezhen-prasten-ot-zlato-soliter/; /p/zlaten-godezhen-prasten-yara/,PRODUCT,Exact match against product data — категория: Аксесоари; подкатегория: Бижута; тип продукт: Пръстени; бижутериен детайл: Годежен. No inferred attributes.,NO,YES
/kafyavo-palto/,Кафяви палта – модели и идеи | Българитъм,2,0,2,2,/p/dalgo-palto-kamel/; /p/palto-alison/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Палта; цвят: Кафяв. No inferred attributes.,NO,YES
/lenena-roklya/,Ленени рокли – модели и идеи | Българитъм,2,0,2,2,/p/kasa-roklya-s-vrazki-na-byusta/; /p/roklya-v-cvyat-sham-fastak/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Рокли; материал: Лен. No inferred attributes.,NO,YES
/rozovi-rokli/,Розови рокли – модели и идеи | Българитъм,2,0,2,2,/p/blossom-strapless-mini-dress-soft-pink/; /p/fairy-blush/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Рокли; цвят: Розов. No inferred attributes.,NO,YES
/zlatni-kolieta/,Златни колиета – материал и детайли | Българитъм,2,0,2,2,/p/tanka-zlatna-verizhka-14-karata/; /p/zlaten-medalion-nova/,PRODUCT,Exact match against product data — категория: Аксесоари; подкатегория: Бижута; тип продукт: Колиета; материал: Злато. No inferred attributes.,NO,YES
/cherna-roklya/,Черни рокли – модели и идеи | Българитъм,3,0,3,3,/p/damska-roklya-elise-ot-viskoza/; /p/samodiva/; /p/slip-dress-cherie/,PRODUCT,Exact match against product data — категория: Облекло; подкатегория: Дамско облекло; тип продукт: Рокли; цвят: Черен. No inferred attributes.,NO,YES
/obetsi-ot-meditsinska-stomana/,Обеци от медицинска стомана | Българитъм,3,0,3,3,/p/golemi-obeci-balerina-ramonna/; /p/golemi-obeci-s-cvetya-amalfi/; /p/obeci-peperudi-on-a-date/,PRODUCT,Exact match against product data — категория: Аксесоари; подкатегория: Бижута; тип продукт: Обеци; материал: Медицинска стомана. No inferred attributes.,NO,YES
/podarak-za-zhena-sportist/,Подарък за спортуваща жена – идеи за подарък | Българитъм,4,0,4,4,/p/damska-cherna-tenis-roklya/; /p/damski-komplekt-ot-3-chasti-lavender/; /p/damski-komplekt-ot-byala-teniska-i-kas-klin-lemon/; /p/korkov-yoga-mat/,PRODUCT,Exact match against product data — получател: За жена; интерес/роля: Спортист. No inferred attributes.,NO,YES
/srebarni-kolieta/,Колиета от сребро – материал и детайли | Българитъм,4,0,4,4,/p/kaso-srebarno-kolie-s-perla/; /p/srebaren-medalion-vechna-pregrydka/; /p/srebarno-kolie-shisharka/; /p/srebarno-kolie-zhalad/,PRODUCT,Exact match against product data — категория: Аксесоари; подкатегория: Бижута; тип продукт: Колиета; материал: Сребро. No inferred attributes.,NO,YES
/zlaten-prasten/,Златни пръстени – материал и детайли | Българитъм,4,0,4,4,/p/damski-zlaten-prasten-selestia/; /p/godezhen-prasten-ot-zlato-soliter/; /p/zlaten-godezhen-prasten-yara/; /p/zlaten-prasten-s-tsirkon-esentia/,PRODUCT,Exact match against product data — категория: Аксесоари; подкатегория: Бижута; тип продукт: Пръстени; материал: Злато. No inferred attributes.,NO,YES
/praktichen-podarak-za-zhena/,Практичен подарък за жена – идеи за подарък | Българитъм,5,0,5,5,/p/knigorazdelitel-harmonia/; /p/kolie-pearls/; /p/komplekt-chorapi-planina/; /p/podarachen-komplekt-riviera-cherven/; /p/podarachen-komplekt-verona-ekryu/,PRODUCT,Exact match against product data — получател: За жена; характеристика: Практичен. No inferred attributes.,NO,YES
/rachno-izraboteni-kartichki/,Ръчно изработени картички | Българитъм,15,0,15,15,/p/album-za-snimki-planina/; /p/astro-set-podarak/; /p/detski-album-za-momiche-zamak/; /p/foto-album-frezii/; /p/kartichka-vuzrastta/; /p/kartodarzhach/; /p/knigorazdelitel-luna/; /p/luksozen-svatben-komplekt-white-flowers/; /p/luksozen-svatben-set-rustic-and-blush/; /p/luksozen-svatben-set-v-stil-rustik/; /p/rachno-izraboten-album-plik-ramka-stih/; /p/razdelitel-s-brodirana-bukva-po-izbor/; /p/risuvana-kartina-angel-pazitel/; /p/set-za-svatba/; /p/sots-set-za-mladozhentsi/,PRODUCT,The product is a direct member of the generated landing selection according to existing structured product data.,NO,YES
